Sr No,Product Name,Expiry Date,Units,MRP
1,CLINIC PLUS STRG&LS 355ML,21-06-2023,5,199
2,CLP SL SHMP 6 ML INCL 50% EXTRA,01-07-2023,24,1
3,CLP DC NRSH HAIR OIL 100M,18-11-2023,4,52
4,GLOW & HANDSOME 25G FACE CREAM FOR MEN            ,13-10-2023,3,78
5,GAL ADV MV 4.5G,12-03-2023,96,5
6,GAL ADV MV 80G                                    ,13-11-2024,16,167
7,GAL ADV MV 9G TRADE OFFER 24+1,21-06-2023,162,9
8,INDULEKHA BRINGHA HFCLEANSER SHP 7.5M,13-02-2023,40,5
9,LAKME EYECONIC KAJAL DEEP BLACK 0.35G             ,15-06-2024,1,185
10,LB SILVER SHIELD SOAP 4X125G                      ,16-05-2024,4,120
11,LAPR BRT DAY CRM 15G,18-10-2023,1,99
12,LUX VELVET GLOW 100G PK OF 5                      ,13-05-2024,5,140
13,LAK BAG SB GEL FW 50G,12-10-2024,2,110
14,TAJ MAHAL LEAF TB LINERS (BB) 100X1.9G,22-08-2022,3,200
15,SURF EXCEL BAR MPK 4X200G                         ,21-12-2023,20,114
16,KNR CLASIC THCK TOMTO SOUP 53G,25-08-2022,5,55
17,PEP GC 8 ACTIONS 21G ONLINE HANGER,21-12-2023,23,10
18,PEP GC 8 ACTIONS 100G                             ,18-10-2023,6,50
19,PDS MISTG COLD CRM 6G,18-12-2023,12,5
20,PONDS AG MR WR CR DY CR SPF18 PA++ 20GM           ,12-09-2024,1,269
21,PDS TRIPLE VT MSTURISING LTN 100ML                ,19-11-2023,3,90
22,PONDS PURE DETOX FW 15G,12-11-2024,1,30
23,PEARS PURE AND GNTL FW 60G                        ,15-12-2023,1,160
24,BRU GOLD 50G JAR                                  ,04-06-2023,2,155
25,RIN BAR SAPPHIRE FW 140G+10G                      ,18-12-2023,7,10
26,SUNSILK LY T&L SH 80ML,12-10-2024,2,58
27,KSN FTK LUP RS2 12G                               ,23-07-2022,187,2
28,TRES KERATIN SMOOTH CONDR 80ML,16-09-2023,4,107
29,TRE HF D SHP 8.5ML,11-09-2023,9,4
30,TAAZA LEAF RS.10 [P] 40G,23-12-2022,418,10
31,TAAZA MASALA CHASKA ELAICHI 100G[P]               ,16-09-2022,20,30
32,TZA LF NW BLED 1KG PNJB HRYNACHTTSGHMP            ,24-11-2022,2,300
33,WHEEL GREEN BAR EW 110G                           ,18-01-2024,11,5
34,ENO REGULAR 5G 5G,31-10-2023,12,9
